"Key","Item Type","Publication Year","Author","Title","Language","Publisher","Place","Notes"
"Orosius1773","book","1773","Orosius","The Anglo-Saxon Version, from the Historian Orosius","Translation into other (Anglo-Saxon)","Printed by W. Bowyer and J. Nichols","London",""
"Lucretius1714","book","1714","Lucretius Carus, Titus","T. Lucretius Carus, Of the Nature of Things, in Six Books","Translation into English","Printed by J. Matthews for G. Sawbridge","London",""
"Virgil1748","book","1748","Virgil","The Works of Virgil, Containing His Pastorals, Georgics and Æneis","Translation into English","Printed for J. and R. Tonson and S. Draper","London",""
"Cicero1839","book","1839","Cicero, Marcus Tullius","The Tusculan questions of Marcus Tullius Cicero in five books / Translated by George Alexander Otis.","eng","","mau",""
"Seneca1834","book","1834","Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","Seneca's Morals. By way of abstract. To which is added, a discourse, under the title of An afterthought. By Sir Roger L'Estrange.","eng","H. Adams","pau",""
"Virgil1803","book","1803","Virgil","The works of Virgil / translated into English verse by Mr. Dryden.","eng","Printed by James Swan ... for Vernor and Hood ... [and 5 others]","enk",""
"Eutropius1805","book","1805","Eutropius, 4th cent.","Historiae romanae breviarium cum versione anglica ...","ita","","xx",""
"Justinus1688","book","1688","Justinus, Marcus Junianus.","The history of Justin, taken out of the four and forty books of Trogus Pompeius: containing the affairs of all aages and countries, both in peace and war, from the beginning of the world until the time of the Roman emperors. With an account of Justin, and the time when he flourished, from G. J. Vossius, and a list of the kings and emperors of the several monarchies, with the year of their reigns, from Eusebius, Berosus and Metasthenes. Tr. into English by Rob. Codrington, master of arts.","eng","Printed for W. Whitwood next door to the Bible in Duck Lane near West-Smithfield","enk",""
"Cicero1752","book","1752","Cicero, Marcus Tullius.","Cicero's epistles to Atticus. : With notes historical, explanatory, and critical. Translated into English, by William Guthrie, Esq; In two volumes. ...","eng","printed for T. Waller","enk",""
"Lucan1822","book","1822","Lucan, 39-65.","Lucan's Pharsalia / Translated from the Latin by Nicholas Rowe, Esq.","eng","Press of C. Whittingham","enk",""
"Lucan1720","book","1720","Lucan, 39-65.","Lucan's Pharsalia / translated into English verse by Nicolas Rowe.","eng","Printed for T. Johnson","enk",""
"Tacitus1770","book","1770","Tacitus, Cornelius.","The Works of Tacitus. With political discourses upon that author, by Thomas Gordon ...","eng","Printed for J. and F. Rivington [etc.]","enk",""
"Cicero1812","book","1812","Cicero, Marcus Tullius.","Cicero's five books De finibus : or, Concerning the last object of desire and aversion / By S. Parker.","eng","Printed for Lackington, Allen, & co., by Nathaniel Bliss","xx",""
"Horace1786","book","1786","Horace.","The lyric works of Horace : translated into English verse : to which are added, a number of original poems / by a Native of America","eng","Printed by Eleazer Oswald","pau",""
"Cicero1744","book","1744","Cicero, Marcus Tullius.","M.T. Cicero's Cato major, or his Discourse on old age: with explanatory notes.","eng","Printed and sold by B. Franklin","xx",""
"Sallust1769","book","1769","Sallust, 86 B.C.-34 B.C.","The works of Sallust / translated into English, with political discourses upon that author. To which is added, a translation of Cicero's Four orations against Catiline. By Thomas Gordon.","eng","Printed for Thomas Caslon","enk",""
"Cicero1806","book","1806","Cicero, Marcus Tullius.","Orations. Trans. into English; with notes, historical and critical, and arguments to each, by William Guthrie.","eng","T. Maiden","enk",""
"Ovid1632","book","1632","Ovid, 43 B.C.-17 or 18 A.D","Ovid's Metamorphosis : Englished, mythologiz'd, and represented in figures. An essay to the translation of Virgil's Aeneis. / By G.S.","eng","Imprinted at Oxford by Iohn Lichfield.","enk",""
"Plutarch1603","book","1603","Plutarch","The philosophie, commonlie called, the morals / written by the learned philosopher Plutarch of Chæronea. Translated out of Greeke into English, and conferred with the Latine translations and the French, by Philemon Holland","eng","Printed by A. Hatfield","enk",""
"Horace1825","book","1825","Horace.","The works of Horace / translated by Philip Francis ; to which is prefixed the life of the translator.","eng","S. King","nyu",""
"May1786","book","1786","May, Thomas, 1595-1650.","A supplement to the Pharsalia of Lucan. Translated from the Latin of Thomas May by Edmund Poulter.","eng","Cadell","enk",""
"Livy1659","book","1659","Livy.","The Romane historie, written by T. Livius of Padua. Also, the Breviaries of L. Florus, with a chronology to the whole historie, and the topography of Rome in old time. Translated out of Latine into English, by Philemon Holland. To which is now added, a supplement of the second decad of Livy (which was lost), lately written in Latine by I. Franshemius, and now newly translated into English.","eng","Sawbridge","enk",""
"Cicero1824","book","1824","Cicero, Marcus Tullius.","The Tusculan disputations of Cicero / a new edition, revised and corrected, by W. H. Main.","eng","W. Pickering","enk",""
"Cicero1834","book","1834","Cicero, Marcus Tullius.","The orations, translated by Duncan, the Offices, by Cockman, and the Cato and Lælius, by Melmoth.","eng","Harper","nyu",""
